MUC1,CD63,EpCAM,MUC1_CD63,MUC1_EpCAM,CD63_EpCAM,ALL,MUC1intensity,CD63intensity,EpCAMintensity,group
0.650172612,0.521288838,0.100115075,0.19447641,0.047180667,0.062140391,0.032220944,2162.700492,1259.920431,2269.274623,LuminalA
0.74120603,0.635678392,0.39258794,0.415829146,0.299623116,0.296482412,0.242462312,2987.384,1762.518378,3989.948775,LuminalB
0.488773748,0.751295337,0.087507196,0.251583189,0.061024755,0.06044905,0.045480714,2119.695563,1508.844138,1907.746213,Healthy
0.501432665,0.773638968,0.068194842,0.281375358,0.056733524,0.053868195,0.048710602,2117.83769,1466.40987,1922.32987,Healthy
0.421052632,0.74122807,0.137426901,0.200292398,0.076023392,0.074561404,0.051169591,2587.28851,1591.10844,2800.20271,Healthy
0.489711934,0.694444444,0.111111111,0.205761317,0.069958848,0.068930041,0.049382716,2368.03887,1727.65895,2659.21932,Healthy
0.640659341,0.596703297,0.116483516,0.246153846,0.09010989,0.083516484,0.065934066,2041.254286,1607.497887,2251.072057,Healthy
0.522371968,0.654986523,0.161725067,0.203234501,0.098652291,0.106199461,0.069002695,2570.727443,2164.2688,2269.6628,Healthy
0.354518371,0.849255214,0.18550149,0.234955313,0.091559086,0.14061569,0.077855015,3924.275175,3139.757613,2495.194375,Healthy
0.349295775,0.856472166,0.123138833,0.225486251,0.060764588,0.095372233,0.052716298,4531.39367,4530.31312,2629.33896,Healthy
0.260569456,0.723037101,0.182053494,0.070750647,0.064710958,0.063848145,0.033649698,2625.761283,1367.956108,3262.716533,LuminalA
0.470227671,0.69614711,0.174255692,0.207530648,0.098073555,0.084938704,0.049912434,2143.118379,1450.855357,2054.163707,LuminalB
0.596396396,0.45045045,0.143243243,0.163963964,0.099099099,0.079279279,0.052252252,2025.489867,1487.523122,2206.515956,LuminalA
0.446031746,0.636507937,0.350793651,0.206349206,0.166666667,0.174603175,0.114285714,2915.317857,1811.398386,2921.884214,LuminalB
0.596237337,0.571635311,0.117221418,0.182344428,0.089725036,0.05788712,0.044862518,1915.16814,1371.01774,1921.44208,LuminalA
0.362225097,0.82923674,0.23156533,0.21992238,0.150064683,0.173350582,0.120310479,2082.529091,1362.518836,2592.481645,LuminalA
0.373101952,0.911062907,0.136659436,0.286334056,0.119305857,0.125813449,0.110629067,3235.921214,1307.196986,2306.225786,LuminalB
0.355317395,0.882934872,0.1430338,0.247732894,0.107996702,0.119950536,0.094394064,3247.64895,1677.916193,2808.401636,LuminalB
0.497497497,0.735735736,0.26026026,0.263263263,0.195195195,0.156156156,0.121121121,3520.461317,1849.245161,3403.922594,LuminalB
0.402985075,0.736318408,0.380597015,0.228855721,0.196517413,0.236318408,0.141791045,3108.115579,1653.606236,3093.585979,LuminalB
0.495850622,0.756224066,0.304979253,0.314315353,0.173236515,0.199170124,0.12966805,3756.685888,1761.186324,4354.076741,LuminalB
0.521554018,0.717402874,0.295902076,0.278339542,0.208621607,0.204364023,0.156466205,3555.660715,2064.241654,4143.6298,LuminalB
0.418454936,0.74248927,0.321888412,0.227467811,0.158798283,0.210300429,0.113733906,3668.323033,2498.736467,3686.737711,LuminalB
0.493734336,0.696741855,0.215538847,0.223057644,0.140350877,0.13283208,0.090225564,2733.0393,1859.010058,2726.4124,LuminalB
0.349614396,0.791773779,0.154241645,0.156812339,0.105398458,0.079691517,0.046272494,2910.409411,1706.330144,2934.281911,LuminalA
0.345221113,0.787446505,0.122681883,0.155492154,0.079885877,0.078459344,0.058487874,2752.607321,1599.040364,2328.850893,LuminalA
0.518791946,0.702013423,0.183892617,0.257718121,0.100671141,0.124832215,0.07852349,3378.138381,2191.157819,3217.131119,LuminalB
0.348484848,0.785353535,0.183080808,0.184343434,0.088383838,0.113636364,0.069444444,2757.204833,1961.59028,2677.598393,LuminalA
0.2996633,0.882154882,0.164983165,0.205387205,0.111111111,0.11952862,0.089225589,3316.022436,1776.435509,3259.7174,LuminalB
0.460614152,0.842456609,0.236315087,0.337783712,0.14552737,0.177570093,0.121495327,2548.641269,1865.134125,3084.881406,LuminalB
0.367058824,0.823529412,0.288235294,0.257647059,0.123529412,0.188235294,0.090588235,2093.492873,1710.011847,1985.458827,LuminalB
0.323500967,0.681818182,0.150870406,0.069632495,0.051257253,0.070599613,0.035299807,2792.380542,1830.4778,3537.230058,LuminalA
0.878066914,0.719578686,0.592936803,0.601239157,0.583643123,0.53605948,0.530359356,4588.921486,1386.334093,2627.190479,TNBC
0.880479735,0.640694789,0.54292804,0.536393714,0.517204301,0.474110835,0.463606286,2992.9549,1315.264046,2223.815623,LuminalB
0.809312059,0.761182318,0.700758567,0.574679571,0.673293225,0.569448077,0.546167931,6162.577792,1910.256292,3348.26715,TNBC
0.83531995,0.632214555,0.494353827,0.474749059,0.470357591,0.425501882,0.408720201,4317.646664,1703.595129,2917.70475,LuminalB
0.895227844,0.683171869,0.647649803,0.587011123,0.621815572,0.562612128,0.545389307,3933.25206,1501.60108,2636.57024,TNBC
0.885551691,0.790388871,0.720834651,0.681631363,0.695542207,0.652228897,0.632627253,4886.639267,1596.7374,2794.658867,TNBC
0.525220459,0.832451499,0.31287478,0.379188713,0.227865961,0.250440917,0.186948854,4225.739425,1764.570913,4928.177913,LuminalB
0.585877863,0.786259542,0.305343511,0.391221374,0.234732824,0.261450382,0.209923664,2490.784314,2319.755714,2947.935071,TNBC
0.592936803,0.810408922,0.284386617,0.410780669,0.224907063,0.256505576,0.204460967,2467.908486,2465.504586,3004.759114,TNBC
0.511013216,0.797356828,0.308370044,0.339207048,0.208516887,0.255506608,0.186490455,2802.050914,2452.319071,3790.559221,LuminalB
0.493430657,0.81459854,0.254014599,0.322627737,0.176642336,0.223357664,0.160583942,2766.620412,2629.027635,3413.050976,LuminalB
0.401117318,0.852513966,0.306145251,0.299441341,0.159776536,0.245810056,0.145251397,2942.539731,2495.185856,3809.507213,LuminalB
0.313067151,0.870235935,0.136116152,0.200544465,0.086206897,0.095281307,0.06261343,2469.273425,1902.551167,3069.694458,LuminalB
0.329059829,0.86965812,0.141025641,0.213675214,0.108974359,0.104700855,0.087606838,4727.593625,2539.456488,4162.868375,LuminalB
0.368644068,0.824858757,0.141242938,0.211864407,0.104519774,0.081920904,0.063559322,3690.83521,2334.23379,2883.62826,LuminalB
0.473484848,0.681818182,0.1875,0.179924242,0.100378788,0.132575758,0.070075758,2130.373042,2362.477542,3553.843775,LuminalA
0.603225806,0.748387097,0.193548387,0.35483871,0.151612903,0.177419355,0.138709677,2437.868871,2788.4558,4957.689414,TNBC
