dose,len,supp
80,23,DE
79,22.2111,DE
78,22,DE
77,22,DE
76,22,DE
75,22,DE
74,22,DE
73,22,DE
72,22,DE
71,22,DE
70,22,DE
69,22,DE
68,22.6444,DE
67,23,DE
66,23.0444,DE
65,23.8611,DE
64,24.6222,DE
63,25.4111,DE
62,26.2,DE
61,26.9957,DE
60,27.8272,DE
59,28.4722,DE
58,29.3556,DE
57,30.2889,DE
56,31.8667,DE
55,32.7222,DE
54,33.5111,DE
53,34.6,DE
52,36.2667,DE
51,38.6333,DE
50,40.6667,DE
49,42.4253,DE
48,43.1358,DE
47,44.1667,DE
46,44.7778,DE
45,45.3889,DE
44,46,DE
43,46.1889,DE
42,46.9827,DE
41,46.3611,DE
40,46.4444,DE
39,47.1111,DE
38,48.5111,DE
37,50.2216,DE
36,50.8889,DE
35,51.25,DE
34,51,DE
33,50.9784,DE
32,51,DE
31,51,DE
30,51.7531,DE
29,52.1944,DE
28,52.2444,DE
27,52.8111,DE
26,53,DE
25,53,DE
24,53.2222,DE
23,53.8333,DE
22,54,DE
21,54,DE
20,54,DE
19,54.2778,DE
18,54.8889,DE
17,55.7,DE
16,56.279,DE
15,57.2438,DE
14,56.9333,DE
13,56.1444,DE
12,56.5556,DE
11,57.5278,DE
10,58,DE
9,58.3914,DE
8,58.2,DE
7,59.7667,DE
6,61,DE
5,61.1667,DE
4,61.9556,DE
3,62.8556,DE
2,65.0444,DE
1,66,DE
0,66.2222,DE
80,13,DE
79,13,DE
78,13,DE
77,13.3667,DE
76,14,DE
75,14,DE
74,14.7333,DE
73,15,DE
72,15,DE
71,15.2,DE
70,16.4938,DE
69,15.3228,DE
68,15,DE
67,15,DE
66,15.0444,DE
65,15.8333,DE
64,16,DE
63,16.3889,DE
62,17.2,DE
61,17.9889,DE
60,17.2222,DE
59,17,DE
58,17,DE
57,17.2716,DE
56,20.5111,DE
55,22.9228,DE
54,25.4222,DE
53,27.8,DE
52,29.0099,DE
51,29.634,DE
50,28.4444,DE
49,27.0302,DE
48,26.3358,DE
47,26,DE
46,26,DE
45,25.8488,DE
44,26.4,DE
43,27.8,DE
42,28.9778,DE
41,29.7667,DE
40,31,DE
39,32.8,DE
38,35.5111,DE
37,37.4562,DE
36,39.5679,DE
35,41.25,DE
34,43.1111,DE
33,43.8,DE
32,45.2,DE
31,45.9444,DE
30,46.6296,DE
29,48.8722,DE
28,49,DE
27,48.9265,DE
26,49.6,DE
