dose,len,supp
0,13,DE
1,12,DE
2,11,DE
3,10,DE
4,10,DE
5,9,DE
6,9,DE
7,8,DE
8,8,DE
9,8,DE
10,8,DE
11,8,DE
12,8,DE
13,8,DE
14,8,DE
15,8,DE
16,7,DE
17,8,DE
18,7.2714,DE
19,8.2857,DE
20,10,DE
21,11.3143,DE
22,12,DE
23,15,DE
24,16.3571,DE
25,19.3714,DE
26,23,DE
27,26,DE
28,31,DE
29,33.4286,DE
30,35,DE
31,40.4571,DE
32,40,DE
33,41,DE
34,41,DE
35,42,DE
36,44,DE
37,46,DE
38,47,DE
39,46,DE
40,46.5857,DE
41,47,DE
42,47,DE
43,48,DE
44,48,DE
45,48,DE
46,48.6714,DE
47,49,DE
48,49,DE
49,49,DE
50,49,DE
51,49,DE
52,49,DE
53,48.2286,DE
54,48.2143,DE
55,51,DE
56,51,DE
57,51,DE
58,51,DE
59,51,DE
60,51,DE
61,51,DE
62,51,DE
63,51,DE
64,51,DE
65,51,DE
66,51,DE
67,51,DE
68,51,DE
69,51,DE
70,51.0143,DE
71,53,DE
72,53.0429,DE
73,53.0571,DE
74,52.1429,DE
75,52.0857,DE
76,51,DE
77,50.7714,DE
78,50.6143,DE
79,45.7143,DE
80,45.7143,DE
0,14,DE
1,13,DE
2,11,DE
3,10,DE
4,9,DE
5,8,DE
6,8,DE
7,9,DE
8,9,DE
9,8,DE
10,7,DE
11,7,DE
12,8,DE
13,9,DE
14,9,DE
15,11,DE
16,11.7714,DE
17,12,DE
18,13.7429,DE
19,15.7286,DE
20,18,DE
21,20,DE
22,21.6857,DE
23,23.6714,DE
24,23.6571,DE
25,24,DE
26,25,DE
27,26.6143,DE
28,29.6,DE
29,31.5857,DE
30,33,DE
31,33.5571,DE
32,37,DE
33,40,DE
34,41,DE
35,41,DE
36,41,DE
37,42.5286,DE
38,43.5429,DE
39,44,DE
40,44.5714,DE
41,45,DE
42,46,DE
43,47,DE
44,48,DE
45,48.3571,DE
46,49,DE
47,45.6714,DE
48,45.6857,DE
49,45.7,DE
50,45.7143,DE
51,45.7286,DE
52,45.7429,DE
53,45.7571,DE
54,45.7714,DE
55,45,DE
56,45,DE
57,46,DE
58,46,DE
59,46.8429,DE
60,47,DE
61,47,DE
62,47,DE
63,48,DE
64,48,DE
65,48,DE
66,48,DE
67,48,DE
68,48,DE
69,48,DE
70,48,DE
71,45.9857,DE
72,46.9714,DE
73,47.9571,DE
74,48.9429,DE
75,49.9286,DE
76,50.9143,DE
77,51.9,DE
78,52.7714,DE
79,52.8714,DE
80,52.8571,DE
0,11,DE
1,9,DE
2,8.9726,DE
3,8.9795,DE
4,9,DE
5,10.9658,DE
6,10,DE
7,9,DE
8,8.9452,DE
9,8.9384,DE
10,9,DE
11,10,DE
12,10.9178,DE
13,12.911,DE
14,13.9041,DE
15,15.8973,DE
16,17.8904,DE
17,20.8836,DE
18,24,DE
19,25.8699,DE
20,26.863,DE
21,28.8562,DE
22,29,DE
23,30,DE
24,31,DE
25,32,DE
26,33,DE
27,34,DE
28,34.8082,DE
29,38.1986,DE
30,40,DE
31,42,DE
32,44,DE
33,44,DE
34,42.7671,DE
35,41.7603,DE
36,40.5069,DE
37,43.7466,DE
38,44,DE
39,44.7329,DE
40,45,DE
41,45,DE
42,44.2877,DE
43,43.2945,DE
44,43.3014,DE
45,41.3082,DE
46,41.3151,DE
47,42.3219,DE
48,42.3288,DE
49,42.3356,DE
50,41.3425,DE
51,40,DE
52,39,DE
53,39,DE
54,40,DE
55,42,DE
56,43.3836,DE
57,45,DE
58,45.3973,DE
59,45.4041,DE
60,45.411,DE
61,47,DE
62,47,DE
63,47,DE
64,47,DE
65,47,DE
66,47,DE
67,47,DE
68,47,DE
69,49,DE
70,49,DE
71,50,DE
72,50,DE
73,51,DE
74,51,DE
75,51.5137,DE
76,52,DE
77,52,DE
78,52,DE
79,52,DE
80,52,DE
0,22,DE
1,21.9918,DE
2,21.9836,DE
3,20.9754,DE
4,20.9672,DE
5,20.959,DE
6,19.9508,DE
7,19.9426,DE
8,18,DE
9,18,DE
10,18.918,DE
11,18.9098,DE
12,19,DE
13,19.8934,DE
14,20,DE
15,20,DE
16,20,DE
17,20,DE
18,20,DE
19,21,DE
20,23,DE
21,25,DE
22,27,DE
23,28,DE
24,30,DE
25,31,DE
26,32,DE
27,33,DE
28,35,DE
29,35,DE
30,37,DE
31,37,DE
32,36.7377,DE
33,35.459,DE
34,34.1639,DE
35,33.8525,DE
36,34.8197,DE
37,37.3934,DE
38,40.6885,DE
39,42.6803,DE
40,45,DE
41,45,DE
42,45.6557,DE
43,46,DE
44,46,DE
45,46.6311,DE
46,47,DE
47,47,DE
48,48,DE
49,49,DE
50,51,DE
51,53,DE
52,55,DE
53,56,DE
54,56,DE
55,56,DE
56,58.541,DE
57,59.0656,DE
58,59.5246,DE
59,60,DE
60,61,DE
61,62,DE
62,62.5082,DE
63,63.0328,DE
64,66,DE
65,67,DE
66,69,DE
67,71.4508,DE
68,73.4426,DE
69,75.4344,DE
70,75.4262,DE
71,76,DE
72,78.4098,DE
73,78.4016,DE
74,78.3934,DE
75,78.7705,DE
76,79.3771,DE
77,79.3689,DE
78,79.7213,DE
79,80.3525,DE
80,81.3443,DE
0,47,VF
1,47,VF
2,48,VF
3,48,VF
4,48,VF
5,49,VF
6,49,VF
7,48,VF
8,48,VF
9,48,VF
10,48,VF
11,48,VF
12,48,VF
13,48,VF
14,48,VF
15,48,VF
16,48,VF
17,48,VF
18,48,VF
19,48,VF
20,48,VF
21,48,VF
22,48,VF
23,48,VF
24,48,VF
25,48,VF
26,47,VF
27,47,VF
28,47,VF
29,46,VF
30,46,VF
31,46,VF
32,46,VF
33,46,VF
34,46,VF
35,46,VF
36,46,VF
37,46,VF
38,46,VF
39,47,VF
40,47,VF
41,47,VF
42,47,VF
43,47,VF
44,47,VF
45,47,VF
46,47,VF
47,47,VF
48,47,VF
49,47,VF
50,48,VF
51,49,VF
52,49,VF
53,49,VF
54,50,VF
55,47,VF
56,47,VF
57,47,VF
58,47,VF
59,47,VF
60,47,VF
61,47,VF
62,47,VF
63,49,VF
64,49,VF
65,49,VF
66,50,VF
67,50,VF
68,50,VF
69,51,VF
70,51,VF
71,51,VF
72,51,VF
73,51,VF
74,51,VF
75,51,VF
76,51,VF
77,51,VF
78,51,VF
79,49,VF
80,49,VF
0,58,VF
1,58,VF
2,58,VF
3,57,VF
4,56,VF
5,55,VF
6,56,VF
7,56,VF
8,56,VF
9,56,VF
10,56,VF
11,56,VF
12,56,VF
13,56,VF
14,55,VF
15,55,VF
16,55,VF
17,53,VF
18,53,VF
19,51,VF
20,51,VF
21,51,VF
22,52,VF
23,51,VF
24,51,VF
25,51,VF
26,50,VF
27,50,VF
28,50,VF
29,49,VF
30,50,VF
31,50,VF
32,50,VF
33,50,VF
34,50,VF
35,50,VF
36,50,VF
37,50,VF
38,50,VF
39,50,VF
40,50,VF
41,50,VF
42,50,VF
43,50,VF
44,50,VF
45,50,VF
46,50,VF
47,50,VF
48,49,VF
49,49,VF
50,49,VF
51,48,VF
52,48,VF
53,48,VF
54,50,VF
55,50,VF
56,50,VF
57,50,VF
58,51,VF
59,51,VF
60,52,VF
61,52,VF
62,52,VF
63,52,VF
64,52,VF
65,53,VF
66,53,VF
67,53,VF
68,54,VF
69,54,VF
70,54,VF
71,54,VF
72,55,VF
73,55,VF
74,55,VF
75,56,VF
76,56,VF
77,56,VF
78,56,VF
79,56,VF
80,56,VF
0,61,VF
1,61,VF
2,61,VF
3,60,VF
4,59,VF
5,58,VF
6,58,VF
7,58,VF
8,58,VF
9,58,VF
10,58,VF
11,58,VF
12,58,VF
13,58,VF
14,56,VF
15,56,VF
16,56,VF
17,55,VF
18,54,VF
19,53,VF
20,52,VF
21,52,VF
22,53,VF
23,53,VF
24,52,VF
25,52,VF
26,52,VF
27,51,VF
28,51,VF
29,51,VF
30,52,VF
31,52,VF
32,52,VF
33,51,VF
34,51,VF
35,51,VF
36,50,VF
37,50,VF
38,51,VF
39,51,VF
40,51,VF
41,51,VF
42,51,VF
43,51,VF
44,51,VF
45,51,VF
46,52,VF
47,52,VF
48,52,VF
49,51,VF
50,51,VF
51,51,VF
52,50,VF
53,50,VF
54,50,VF
55,50,VF
56,51,VF
57,51,VF
58,51,VF
59,52,VF
60,52,VF
61,52,VF
62,52,VF
63,53,VF
64,53,VF
65,53,VF
66,54,VF
67,54,VF
68,54,VF
69,55,VF
70,56,VF
71,56,VF
72,56,VF
73,56,VF
74,57,VF
75,57,VF
76,57,VF
77,58,VF
78,58,VF
79,58,VF
80,59,VF
0,49,VF
1,49,VF
2,48,VF
3,48,VF
4,48,VF
5,48,VF
6,48,VF
7,48,VF
8,48,VF
9,48,VF
10,48,VF
11,48,VF
12,48,VF
13,48,VF
14,48,VF
15,48,VF
16,48,VF
17,48,VF
18,48,VF
19,48,VF
20,48,VF
21,47,VF
22,47,VF
23,47,VF
24,46,VF
25,46,VF
26,46,VF
27,46,VF
28,46,VF
29,46,VF
30,46,VF
31,46,VF
32,46,VF
33,46,VF
34,47,VF
35,47,VF
36,47,VF
37,47,VF
38,47,VF
39,47,VF
40,47,VF
41,47,VF
42,47,VF
43,47,VF
44,47,VF
45,48,VF
46,49,VF
47,49,VF
48,49,VF
49,50,VF
50,47,VF
51,47,VF
52,47,VF
53,47,VF
54,47,VF
55,47,VF
56,47,VF
57,47,VF
58,49,VF
59,49,VF
60,49,VF
61,50,VF
62,50,VF
63,50,VF
64,51,VF
65,51,VF
66,51,VF
67,51,VF
68,51,VF
69,51,VF
70,51,VF
71,51,VF
72,51,VF
73,51,VF
74,49,VF
75,49,VF
76,49,VF
77,50,VF
78,50,VF
79,50,VF
80,51,VF
