dose,len,supp
0,113,DE
1,112.0231,DE
2,111,DE
3,111,DE
4,111.0922,DE
5,111.1153,DE
6,111,DE
7,112,DE
8,111.1844,DE
9,112,DE
10,112,DE
11,112,DE
12,111.7233,DE
13,112,DE
14,111.6772,DE
15,111.6542,DE
16,111.3689,DE
17,112,DE
18,111,DE
19,111.438,DE
20,112,DE
21,112.4841,DE
22,112,DE
23,111.5303,DE
24,112,DE
25,111,DE
26,111,DE
27,111,DE
28,111.3545,DE
29,112.3314,DE
30,112.3084,DE
31,112.2853,DE
32,112,DE
33,112,DE
34,111.2161,DE
35,111,DE
36,111.83,DE
37,112,DE
38,112,DE
39,112.8991,DE
40,112.9222,DE
41,112,DE
42,113,DE
43,114.0086,DE
44,116,DE
45,116,DE
46,117,DE
47,117,DE
48,117,DE
49,117.8703,DE
50,119,DE
51,120,DE
52,120.8012,DE
53,121,DE
54,122,DE
55,122.268,DE
56,123,DE
57,124.6859,DE
58,125,DE
59,126,DE
60,126,DE
61,126.4063,DE
62,127,DE
63,126.4524,DE
64,127,DE
65,127.5014,DE
66,127,DE
67,128,DE
68,128,DE
69,128,DE
70,128,DE
71,128,DE
72,128.6599,DE
73,128.683,DE
74,129,DE
75,129,DE
76,129,DE
77,129,DE
78,129,DE
79,129,DE
80,129.8444,DE
81,129,DE
82,129,DE
83,129,DE
84,130,DE
85,130,DE
86,129,DE
87,130,DE
88,130,DE
89,130,DE
90,130,DE
91,130.098,DE
92,130.879,DE
93,130,DE
94,131,DE
95,130,DE
96,130.7867,DE
97,131,DE
98,131,DE
99,130,DE
100,130.3055,DE
101,131,DE
102,131,DE
103,131,DE
104,130.6023,DE
105,130,DE
106,131,DE
107,130.4669,DE
108,130,DE
109,130.513,DE
110,130,DE
111,130,DE
112,129.4179,DE
113,128.6052,DE
114,129,DE
115,129.6513,DE
116,129.6743,DE
117,129,DE
118,129,DE
119,129,DE
120,129.7666,DE
0,119,DE
1,117,DE
2,116.9539,DE
3,116,DE
4,116,DE
5,114.8847,DE
6,113,DE
7,111,DE
8,111,DE
9,111,DE
10,111,DE
11,111,DE
12,111,DE
13,111,DE
14,111,DE
15,111.3458,DE
16,111,DE
17,112,DE
18,112.585,DE
19,112.562,DE
20,112,DE
21,112,DE
22,112.4928,DE
23,112.5303,DE
24,112,DE
25,111,DE
26,110.4006,DE
27,111,DE
28,111.3545,DE
29,112,DE
30,111.3084,DE
31,111.2853,DE
32,111.2622,DE
33,111.7608,DE
34,112,DE
35,111.8069,DE
36,112,DE
37,112.147,DE
38,113,DE
39,113,DE
40,114,DE
41,115,DE
42,115,DE
43,115,DE
44,116,DE
45,115,DE
46,115,DE
47,116,DE
48,116.8934,DE
49,117.1297,DE
50,118.8473,DE
51,119,DE
52,120,DE
53,121,DE
54,121,DE
55,122.732,DE
56,123,DE
57,123.6859,DE
58,123.6628,DE
59,124.3602,DE
60,124,DE
61,124.5937,DE
62,125,DE
63,125,DE
64,126,DE
65,126,DE
66,126,DE
67,127,DE
68,127,DE
69,127,DE
70,127,DE
71,127,DE
72,127,DE
73,128,DE
74,128,DE
75,127.2709,DE
76,128.2478,DE
77,128.7752,DE
78,128,DE
79,129,DE
80,128,DE
81,128,DE
82,128,DE
83,128,DE
84,128.9366,DE
85,128,DE
86,127,DE
87,127.9942,DE
88,127.0288,DE
89,127,DE
90,127,DE
91,127.098,DE
92,127.121,DE
93,127.1441,DE
94,127,DE
95,127.8098,DE
96,127,DE
97,127,DE
98,127,DE
99,128,DE
100,128,DE
101,127.3285,DE
102,127.7032,DE
103,128.3746,DE
104,128.3977,DE
105,127.4207,DE
106,127.4438,DE
107,126.4669,DE
108,126.4899,DE
109,125.513,DE
110,126.072,DE
111,126,DE
112,126.4179,DE
113,126.3948,DE
114,127,DE
115,126,DE
116,127,DE
117,126,DE
118,126.7205,DE
119,127,DE
120,127,DE
