group,MCF 10A-1,MCF 10A-2,MCF 10A-3,MCF 10A-4,MCF 10A-5,MCF 10A-6,MCF 10A-7,MCF 10A-8,MCF 10A-9,MCF 10A-10,MCF 10A-11,MCF 10A-12,MCF 10A-13,MCF 10A-14,MCF 10A-15,MCF 10A-16,MCF 10A-17,MCF 10A-18,MCF 10A-19,MCF 10A-20,MCF 7-1,MCF 7-2,MCF 7-3,MCF 7-4,MCF 7-5,MCF 7-6,MCF 7-7,MCF 7-8,MCF 7-9,MCF 7-10,MCF 7-11,MCF 7-12,MCF 7-13,MCF 7-14,MCF 7-15,MCF 7-16,MCF 7-17,MCF 7-18,MCF 7-19,MCF 7-20,MCF 7-21,MDA-MB-231-1,MDA-MB-231-2,MDA-MB-231-3,MDA-MB-231-4,MDA-MB-231-5,MDA-MB-231-6,MDA-MB-231-7,MDA-MB-231-8,MDA-MB-231-9,MDA-MB-231-10,MDA-MB-231-11,MDA-MB-231-12,MDA-MB-231-13,MDA-MB-231-14,MDA-MB-231-15,MDA-MB-231-16,MDA-MB-231-17,MDA-MB-231-18,MDA-MB-231-19,MDA-MB-231-20,MDA-MB-231-21,MDA-MB-231-22
MUC1,0,0.041666667,0.538461538,0.419354839,0.75862069,0.764705882,0.958333333,0.586206897,0.545454545,0,0.923076923,0.133333333,1,0.9625,0.975609756,0.88372093,0.939393939,0.692307692,0.9,0.96969697,0.861386139,1,0.980769231,0.983471074,0.984848485,1,0.940677966,0.958762887,0.969072165,1,1,0.99009901,0.916666667,0.991735537,1,0.980582524,0.988505747,1,0.99,0.769230769,0.12195122,1,1,1,0.969230769,0.957446809,1,1,0.968253968,1,0.977777778,0.977272727,0.958333333,0.959183673,1,0.903614458,0.913043478,0.78,1,0.976190476,0.968253968,1,1
CD63,1,0.916666667,0.897435897,0.870967742,0.827586207,0.852941176,0.708333333,0.793103448,0.818181818,1,0.384615385,0.933333333,0.489361702,0.5875,0.707317073,0.790697674,0.484848485,0.692307692,0.566666667,0.515151515,0.95049505,0.943089431,0.942307692,0.983471074,0.901515152,0.835051546,0.93220339,0.865979381,0.958762887,0.909090909,0.850877193,0.861386139,0.947916667,0.917355372,0.868131868,0.902912621,0.965517241,0.621212121,0.94,0.923076923,1,0.744680851,0.880952381,0.546666667,0.723076923,0.553191489,0.68627451,0.851851852,0.682539683,0.777777778,0.8,0.568181818,0.6875,0.795918367,0.666666667,0.481927711,0.608695652,0.48,0.454545455,0.738095238,0.587301587,0.423728814,0.345679012
EpCAM,0.5,0.166666667,0.051282051,0.064516129,0.086206897,0.029411765,0.145833333,0.068965517,0.181818182,0,0.115384615,0.133333333,0,0.05,0.097560976,0.046511628,0.045454545,0.230769231,0.066666667,0.121212121,0.495049505,0.12195122,0.567307692,0.67768595,0.310606061,0.103092784,0.440677966,0.453608247,0.381443299,0.343434343,0.394736842,0.495049505,0.6875,0.570247934,0.538461538,0.485436893,0.620689655,0.272727273,0.58,0.415384615,0.634146341,0.638297872,0.595238095,0.493333333,0.523076923,0.595744681,0.568627451,0.796296296,0.53968254,0.537037037,0.733333333,0.386363636,0.458333333,0.612244898,0.393939394,0.228915663,0.565217391,0.28,0.303030303,0.452380952,0.19047619,0.084745763,0.024691358
MUC1_CD63,0,0.041666667,0.461538462,0.322580645,0.586206897,0.617647059,0.708333333,0.413793103,0.363636364,0,0.346153846,0.133333333,0.489361702,0.5375,0.707317073,0.674418605,0.454545455,0.461538462,0.5,0.484848485,0.811881188,0.943089431,0.932692308,0.966942149,0.886363636,0.835051546,0.881355932,0.824742268,0.927835052,0.909090909,0.850877193,0.851485149,0.895833333,0.900826446,0.868131868,0.893203883,0.954022989,0.621212121,0.93,0.707692308,0.12195122,0.744680851,0.880952381,0.533333333,0.707692308,0.553191489,0.68627451,0.814814815,0.666666667,0.777777778,0.777777778,0.568181818,0.666666667,0.775510204,0.666666667,0.43373494,0.565217391,0.38,0.454545455,0.714285714,0.587301587,0.423728814,0.345679012
MUC1_EpCAM,0,0,0.025641026,0.032258065,0.051724138,0.029411765,0.104166667,0.034482759,0.181818182,0,0.076923077,0,0,0.05,0.073170732,0.046511628,0.015151515,0.153846154,0.033333333,0.121212121,0.465346535,0.12195122,0.557692308,0.661157025,0.310606061,0.103092784,0.423728814,0.432989691,0.381443299,0.343434343,0.394736842,0.485148515,0.625,0.570247934,0.538461538,0.475728155,0.620689655,0.272727273,0.58,0.307692308,0.12195122,0.638297872,0.595238095,0.493333333,0.507692308,0.553191489,0.568627451,0.796296296,0.523809524,0.537037037,0.733333333,0.363636364,0.416666667,0.571428571,0.393939394,0.168674699,0.52173913,0.12,0.303030303,0.452380952,0.158730159,0.084745763,0.024691358
CD63_EpCAM,0.5,0.083333333,0.025641026,0.032258065,0.086206897,0.029411765,0.104166667,0.034482759,0.181818182,0,0.076923077,0.066666667,0,0.05,0.073170732,0.046511628,0.015151515,0.153846154,0.033333333,0.121212121,0.495049505,0.12195122,0.557692308,0.67768595,0.310606061,0.103092784,0.43220339,0.453608247,0.381443299,0.343434343,0.394736842,0.495049505,0.65625,0.570247934,0.538461538,0.475728155,0.620689655,0.272727273,0.58,0.4,0.634146341,0.638297872,0.595238095,0.44,0.507692308,0.489361702,0.568627451,0.796296296,0.523809524,0.518518519,0.688888889,0.363636364,0.4375,0.571428571,0.393939394,0.180722892,0.47826087,0.16,0.272727273,0.452380952,0.158730159,0.084745763,0.024691358
ALL,0,0,0.025641026,0.032258065,0.051724138,0.029411765,0.104166667,0.034482759,0.181818182,0,0.076923077,0,0,0.0375,0.073170732,0.046511628,0.015151515,0.153846154,0.033333333,0.121212121,0.465346535,0.12195122,0.557692308,0.661157025,0.310606061,0.103092784,0.423728814,0.432989691,0.381443299,0.343434343,0.394736842,0.485148515,0.625,0.561983471,0.538461538,0.475728155,0.620689655,0.272727273,0.58,0.307692308,0.12195122,0.638297872,0.595238095,0.426666667,0.507692308,0.489361702,0.568627451,0.759259259,0.523809524,0.518518519,0.688888889,0.363636364,0.416666667,0.551020408,0.393939394,0.168674699,0.47826087,0.12,0.272727273,0.452380952,0.158730159,0.084745763,0.024691358
MUC1intensity,0,14761.57,16684.63,16832.3,16283.69,16374.3,17322.23,17629.51,15606.35,0,18183.84,12248.63,17744.2,16791.91,17616.67,16992.79,16264.67,13501.54,13912.56,17162.72,16333.01,17808.38,17750.93,17781.89,17395.36,17524.18,16999.06,16531.01,16485.01,17294.02,17600.55,17601.73,16342.83,17485.22,17868.23,18260.5,16675.9,16249.84,17267.9,14929.06,11971.71,17855.84,16605.32,19132.23,16407.39,16301.78,17359.3,18113.73,17727.18,16774.36,16381.83,15705.96,17753.65,18399.26,17871.74,18695.95,12764.83,16265.28,14095.96,17154.81,17400.56,16122.69,16490.69
CD63intensity,22635.38098,22901.17533,25244.79756,24957.53413,24754.96808,25738.60066,26089.75699,25141.70183,25237.89232,23758.64742,22320.72982,21316.01142,25477.25612,23463.80558,24862.21858,23935.29697,22456.66844,22163.71722,20516.98837,24505.51307,23617.27284,24226.44177,24691.04386,25106.24158,24092.82098,23799.32982,23950.29639,24296.8879,23643.18615,23270.59588,23720.62464,23291.70211,22998.75127,24054.19287,24316.67408,23741.51961,24233.01744,20876.67222,23883.47319,20937.36181,21084.07357,18547.45995,18315.36068,19141.5263,18441.29843,18661.85466,18526.912,18962.1705,18912.70178,18374.86076,18565.92182,18280.80327,18269.5604,17890.63365,18258.49988,19004.63908,17032.29218,18015.73833,17136.36915,17793.51504,17975.37344,17410.13302,17526.39711
EpCAMintensity,7613.520053,6121.974065,8350.670186,5865.891577,7231.083812,7234.16129,7785.891745,9853.62323,9658.636889,0,6635.45182,6845.028446,0,8804.726346,7921.118642,10514.79403,5802.419683,8218.646268,4635.041419,8876.650991,5581.449864,5443.441445,5675.835345,5881.745238,5646.779874,5059.940362,5748.639341,5672.322079,5729.782231,5469.567499,5643.733041,5590.96018,5746.479483,6064.141739,5590.121743,5824.005455,6086.719233,5409.992028,5707.47463,5097.605877,5008.140757,5416.992542,5425.258184,5669.049039,5378.383286,5675.485526,5718.464481,5819.274894,5353.675284,5268.570524,5125.234285,4937.698265,5108.100772,4864.407356,5045.829342,5564.310997,4595.016874,4953.78395,4488.170603,5026.566287,5229.617887,5365.529553,4931.029514
