dose,len,supp
0,0.496,whole blood+Triton
1,0.493,whole blood+Triton
2,0.489,whole blood+Triton
3,0.487,whole blood+Triton
4,0.485,whole blood+Triton
5,0.483,whole blood+Triton
6,0.479,whole blood+Triton
7,0.48,whole blood+Triton
8,0.478,whole blood+Triton
9,0.48,whole blood+Triton
10,0.48,whole blood+Triton
11,0.482,whole blood+Triton
12,0.487,whole blood+Triton
13,0.495,whole blood+Triton
14,0.506,whole blood+Triton
15,0.517,whole blood+Triton
16,0.526,whole blood+Triton
17,0.542,whole blood+Triton
18,0.561,whole blood+Triton
19,0.586,whole blood+Triton
20,0.607,whole blood+Triton
21,0.626,whole blood+Triton
22,0.645,whole blood+Triton
23,0.677,whole blood+Triton
24,0.721,whole blood+Triton
25,0.757,whole blood+Triton
26,0.784,whole blood+Triton
27,0.818,whole blood+Triton
28,0.861,whole blood+Triton
29,0.909,whole blood+Triton
30,0.955,whole blood+Triton
31,0.996,whole blood+Triton
32,1.036,whole blood+Triton
33,1.076,whole blood+Triton
34,1.115,whole blood+Triton
35,1.16,whole blood+Triton
36,1.173,whole blood+Triton
37,1.191,whole blood+Triton
38,1.215,whole blood+Triton
39,1.229,whole blood+Triton
40,1.227,whole blood+Triton
41,1.225,whole blood+Triton
42,1.219,whole blood+Triton
43,1.201,whole blood+Triton
44,1.173,whole blood+Triton
45,1.139,whole blood+Triton
46,1.117,whole blood+Triton
47,1.096,whole blood+Triton
48,1.064,whole blood+Triton
49,1.022,whole blood+Triton
50,0.972,whole blood+Triton
51,0.938,whole blood+Triton
52,0.913,whole blood+Triton
53,0.881,whole blood+Triton
54,0.845,whole blood+Triton
55,0.811,whole blood+Triton
56,0.791,whole blood+Triton
57,0.779,whole blood+Triton
58,0.765,whole blood+Triton
59,0.754,whole blood+Triton
60,0.759,whole blood+Triton
61,0.764,whole blood+Triton
62,0.774,whole blood+Triton
63,0.799,whole blood+Triton
64,0.843,whole blood+Triton
65,0.88,whole blood+Triton
66,0.903,whole blood+Triton
67,0.93,whole blood+Triton
68,0.983,whole blood+Triton
69,1.055,whole blood+Triton
70,1.112,whole blood+Triton
71,1.145,whole blood+Triton
72,1.178,whole blood+Triton
73,1.225,whole blood+Triton
74,1.272,whole blood+Triton
75,1.293,whole blood+Triton
76,1.297,whole blood+Triton
77,1.289,whole blood+Triton
78,1.248,whole blood+Triton
79,1.173,whole blood+Triton
80,1.075,whole blood+Triton
81,0.987,whole blood+Triton
82,0.894,whole blood+Triton
83,0.814,whole blood+Triton
84,0.683,whole blood+Triton
85,0.561,whole blood+Triton
86,0.488,whole blood+Triton
87,0.448,whole blood+Triton
88,0.406,whole blood+Triton
89,0.354,whole blood+Triton
90,0.305,whole blood+Triton
91,0.278,whole blood+Triton
92,0.258,whole blood+Triton
93,0.243,whole blood+Triton
94,0.225,whole blood+Triton
95,0.206,whole blood+Triton
96,0.191,whole blood+Triton
97,0.182,whole blood+Triton
98,0.174,whole blood+Triton
99,0.167,whole blood+Triton
100,0.158,whole blood+Triton
0,0.229,DE
1,0.228,DE
2,0.228,DE
3,0.227,DE
4,0.226,DE
5,0.226,DE
6,0.224,DE
7,0.225,DE
8,0.225,DE
9,0.226,DE
10,0.225,DE
11,0.225,DE
12,0.227,DE
13,0.229,DE
14,0.232,DE
15,0.235,DE
16,0.238,DE
17,0.24,DE
18,0.246,DE
19,0.253,DE
20,0.259,DE
21,0.264,DE
22,0.268,DE
23,0.277,DE
24,0.287,DE
25,0.298,DE
26,0.305,DE
27,0.313,DE
28,0.325,DE
29,0.337,DE
30,0.35,DE
31,0.36,DE
32,0.37,DE
33,0.381,DE
34,0.391,DE
35,0.403,DE
36,0.406,DE
37,0.41,DE
38,0.416,DE
39,0.42,DE
40,0.419,DE
41,0.418,DE
42,0.417,DE
