ID,Area,Mean,Perim.,Feret,IntDen,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,
1,0.524,8375.548,2.587,1.048,4387.95,100,259642,1,878,28,60.255,0.65,0.499
2,0.524,6665.032,2.695,1.118,3491.81,100,206616,1,793,31,54.462,0.756,1
3,0.372,9745.909,2.175,0.872,3623.529,100,214410,1,595,32,63.435,0.65,
4,0.828,20662.388,3.215,1.199,17110.523,100,1012457,1,552,29,130.601,0.91,
5,0.558,12250.242,2.618,1.048,6831.96,100,404258,1,494,37,29.745,0.78,
6,0.541,10400.844,2.587,1.015,5624.776,100,332827,1,729,40,39.806,0.78,
7,0.338,7348.65,2.067,0.872,2483.844,100,146973,1,776,44,63.435,0.52,
8,0.169,5613.3,1.471,0.581,948.648,100,56133,1,135,56,116.565,0.46,
9,0.659,15950.667,2.986,1.072,10513.084,100,622076,1,370,61,14.036,0.91,
10,0.27,6832.25,1.731,0.7,1847.44,100,109316,1,279,63,158.199,0.52,
11,0.203,5705.5,1.471,0.581,1157.075,100,68466,1,665,62,116.565,0.52,
13,0.406,12917.292,2.251,0.919,5239.254,100,310015,1,358,67,135,0.65,
14,0.423,13102.72,2.251,0.872,5535.899,100,327568,1,518,80,116.565,0.65,
15,1.132,24456.433,3.874,1.453,27692.019,100,1638581,1,638,82,153.435,1.151,
16,0.101,4297,1.103,0.469,435.716,100,25782,1,203,81,123.69,0.368,
17,0.237,7197,1.623,0.735,1702.81,100,100758,1,774,90,45,0.52,
18,0.101,3646.167,1.179,0.552,369.721,100,21877,1,850,89,45,0.368,
19,0.169,5022.1,1.363,0.65,848.735,100,50221,1,304,93,143.13,0.39,
20,0.22,5870.077,1.547,0.65,1289.656,100,76311,1,86,94,126.87,0.52,
21,1.048,20746.694,3.735,1.406,21738.386,100,1286295,1,207,104,56.31,1.04,
23,0.152,5627.889,1.363,0.581,856.002,100,50651,1,737,109,63.435,0.39,
25,0.473,4779.286,2.542,0.946,2261.558,100,133820,1,979,112,164.055,0.78,
26,0.71,14148.357,2.986,1.163,10042.504,100,594231,1,850,119,26.565,0.91,
27,0.321,6479.053,1.991,0.832,2080.424,100,123102,1,903,122,38.66,0.64,
28,0.237,7296.929,1.623,0.65,1726.453,100,102157,1,496,123,126.87,0.52,
29,0.22,5656.615,1.623,0.7,1242.758,100,73536,1,255,134,158.199,0.39,
30,0.186,7072.455,1.439,0.65,1314.769,100,77797,1,569,141,53.13,0.39,
31,0.997,22311.729,3.538,1.28,22247.025,100,1316392,1,773,140,156.038,1.163,
32,0.896,17982.472,3.43,1.287,16106.9,100,953071,1,160,152,45,1.04,
33,1.335,23464.165,4.134,1.453,31327.006,100,1853669,1,347,160,63.435,1.3,
34,0.558,15751.758,2.618,0.99,8784.755,100,519808,1,411,150,113.199,0.78,
35,0.963,22615.263,3.538,1.3,21785.283,100,1289070,1,482,157,126.87,1.103,
36,0.237,8512.643,1.623,0.65,2014.091,100,119177,1,206,164,126.87,0.52,
37,0.879,19477.712,3.322,1.226,17117.013,100,1012841,1,689,165,122.005,1.04,
38,0.507,15423.933,2.466,0.946,7819.934,100,462718,1,352,174,164.055,0.78,
39,0.152,5215.778,1.287,0.581,793.32,100,46942,1,296,176,153.435,0.39,
40,0.304,9337.056,1.991,0.758,2840.332,100,168067,1,155,177,120.964,0.643,
41,0.186,5179.364,1.439,0.65,962.844,100,56973,1,45,192,53.13,0.39,
42,0.169,7247.2,1.439,0.581,1224.777,100,72472,1,298,190,153.435,0.39,
