Distance_(microns),Gray_Value,group
0,169,CD63
0.13,191.613,CD63
0.26,254.621,CD63
0.39,414.228,CD63
0.52,960.243,CD63
0.65,3431.471,CD63
0.78,8235.075,CD63
0.91,11892.05,CD63
1.04,12045.052,CD63
1.17,9289.57,CD63
1.3,5568.213,CD63
1.43,2596.082,CD63
1.56,940.504,CD63
1.69,398.923,CD63
1.82,235.915,CD63
1.95,189.006,CD63
2.08,185.295,CD63
2.21,183.317,CD63
2.34,169.619,CD63
2.47,156.12,CD63
2.6,159.618,CD63
2.73,175.47,CD63
2.86,175.31,CD63
2.99,177.76,CD63
3.12,174.075,CD63
3.25,145.241,CD63
3.38,135.832,CD63
3.51,151.344,CD63
3.64,153.294,CD63
3.77,141.849,CD63
3.9,127.183,CD63
4.03,135.11,CD63
4.16,138.25,CD63
4.29,149.222,CD63
4.42,155.371,CD63
4.55,136.033,CD63
4.68,139.933,CD63
4.81,128.119,CD63
4.94,149.64,CD63
5.07,155.776,CD63
5.2,163.15,CD63
5.33,165.753,CD63
5.46,151.863,CD63
5.59,140.181,CD63
5.72,153.399,CD63
5.85,154.208,CD63
5.98,141.222,CD63
6.11,135.36,CD63
6.24,132.794,CD63
6.37,141.093,CD63
6.5,146.712,CD63
6.63,139.432,CD63
6.76,132.588,CD63
6.89,138.836,CD63
7.02,137.949,CD63
7.15,134.15,CD63
7.28,138.731,CD63
7.41,152,CD63
7.54,141.172,CD63
7.67,133.335,CD63
7.8,167.626,CD63
7.93,155.37,CD63
8.06,156.718,CD63
8.19,161.063,CD63
8.32,148.192,CD63
8.45,138.011,CD63
8.58,141.159,CD63
8.71,139.595,CD63
8.84,143.282,CD63
8.97,133.579,CD63
9.1,147.645,CD63
9.23,160.317,CD63
9.36,179.349,CD63
9.49,191.754,CD63
9.62,169.553,CD63
9.75,165.072,CD63
9.88,162.4,CD63
10.01,165.006,CD63
10.14,173.23,CD63
10.27,186.966,CD63
10.4,204.139,CD63
10.53,263.998,CD63
10.66,482.517,CD63
10.79,1213.315,CD63
10.92,4098.922,CD63
11.05,10265.487,CD63
11.18,12916.307,CD63
11.31,11348.292,CD63
11.44,7143.176,CD63
11.57,3094.98,CD63
11.7,1191.371,CD63
11.83,478.432,CD63
11.96,271.741,CD63
12.09,233.046,CD63
12.22,214.699,CD63
12.35,210,CD63
12.48,163,CD63
12.61,154.878,CD63
12.74,161.651,CD63
12.87,164.275,CD63
13,163.888,CD63
13.13,177.803,CD63
13.26,164.653,CD63
13.39,152.328,CD63
13.52,149.534,CD63
13.65,145.076,CD63
13.78,146.123,CD63
13.91,151.354,CD63
14.04,161.041,CD63
14.17,146.344,CD63
14.3,144.039,CD63
14.43,154.725,CD63
14.56,161.889,CD63
14.69,160.38,CD63
14.82,159.826,CD63
14.95,141.661,CD63
15.08,144.25,CD63
15.21,143.075,CD63
15.34,143.833,CD63
15.47,145.34,CD63
15.6,144.752,CD63
15.73,133.185,CD63
15.86,130.812,CD63
15.99,128.228,CD63
16.12,132.396,CD63
16.25,138.587,CD63
16.38,145.868,CD63
16.51,154.445,CD63
16.64,148.082,CD63
16.77,139.75,CD63
16.9,136.179,CD63
17.03,138.822,CD63
17.16,123.926,CD63
17.29,129.545,CD63
17.42,149.844,CD63
17.55,187.082,CD63
17.68,150.555,CD63
17.81,134.554,CD63
17.94,135.682,CD63
18.07,153.408,CD63
18.2,153.778,CD63
18.33,152.19,CD63
18.46,152.777,CD63
18.59,153.781,CD63
18.72,152.388,CD63
18.85,144.417,CD63
18.98,140.452,CD63
19.11,155.832,CD63
19.24,188.782,CD63
19.37,276.401,CD63
19.5,758.922,CD63
19.63,2463.646,CD63
19.76,5307.892,CD63
19.89,5730.161,CD63
20.02,3833.751,CD63
20.15,1744.249,CD63
20.28,656.81,CD63
20.41,312.46,CD63
20.54,198.164,CD63
20.67,165.011,CD63
20.8,151.135,CD63
20.93,136.291,CD63
21.06,139.5,CD63
21.19,133.453,CD63
21.32,124.857,CD63
21.45,125.409,CD63
21.58,123.105,CD63
21.71,131.514,CD63
21.84,126.909,CD63
21.97,136.261,CD63
22.1,132.897,CD63
22.23,125.978,CD63
22.36,144.062,CD63
22.49,139.764,CD63
22.62,129.124,CD63
22.75,125.363,CD63
22.88,138.412,CD63
23.01,129.391,CD63
23.14,147.061,CD63
23.27,160.269,CD63
23.4,148.339,CD63
23.53,137.697,CD63
23.66,138.154,CD63
23.79,130.561,CD63
23.92,135.111,CD63
24.05,141.91,CD63
24.18,151.676,CD63
24.31,164.044,CD63
24.44,160.116,CD63
24.57,173.162,CD63
24.7,136.782,CD63
24.83,145.074,CD63
24.96,151.479,CD63
25.09,159.666,CD63
25.22,169.033,CD63
25.35,183.938,CD63
25.48,181.634,CD63
25.61,189.927,CD63
25.74,206.281,CD63
25.87,229.108,CD63
26,242.932,CD63
26.13,312.394,CD63
26.26,539.97,CD63
26.39,1138.406,CD63
26.52,2766.719,CD63
26.65,5878.623,CD63
26.78,9403.5,CD63
26.91,10616.288,CD63
27.04,9877.709,CD63
27.17,6929.819,CD63
27.3,4128.002,CD63
27.43,1736.435,CD63
27.56,760.87,CD63
27.69,380.784,CD63
27.82,255.951,CD63
27.95,204.469,CD63
28.08,185,CD63
28.21,173.035,CD63
28.34,163.394,CD63
28.47,159.805,CD63
28.6,155.986,CD63
28.73,145.409,CD63
28.86,139.891,CD63
28.99,147.006,CD63
29.12,154.837,CD63
29.25,138.591,CD63
29.38,142.664,CD63
29.51,147.544,CD63
29.64,130,CD63
29.77,149,CD63
29.9,141.458,CD63
30.03,142.281,CD63
30.16,146.176,CD63
30.29,141.078,CD63
30.42,143.575,CD63
30.55,133.235,CD63
30.68,146.386,CD63
30.81,152.725,CD63
30.94,145.118,CD63
31.07,148.843,CD63
31.2,149.19,CD63
31.33,133.176,CD63
31.46,143.804,CD63
31.59,135.17,CD63
31.72,133,CD63
31.85,147.405,CD63
31.98,145.778,CD63
32.11,151.529,CD63
32.24,147.333,CD63
32.37,141.745,CD63
32.5,140.647,CD63
32.63,141.314,CD63
32.76,143.654,CD63
32.89,129.706,CD63
33.02,141.928,CD63
33.15,138.098,CD63
33.28,151.471,CD63
33.41,142.935,CD63
33.54,143.359,CD63
33.67,135.765,CD63
33.8,153.255,CD63
33.93,144.569,CD63
34.06,146.294,CD63
34.19,153.889,CD63
34.32,167.15,CD63
34.45,142.588,CD63
34.58,139.405,CD63
34.71,135.889,CD63
34.84,130.765,CD63
34.97,139.941,CD63
35.1,137.412,CD63
35.23,146.412,CD63
35.36,148.242,CD63
35.49,135.686,CD63
35.62,138.529,CD63
35.75,151.837,CD63
35.88,144.582,CD63
36.01,153.941,CD63
36.14,147.627,CD63
36.27,139.529,CD63
36.4,132,CD63
36.53,134.614,CD63
36.66,128.575,CD63
36.79,135.412,CD63
36.92,144.078,CD63
37.05,131.843,CD63
37.18,137.882,CD63
37.31,141.68,CD63
37.44,147.078,CD63
37.57,145.235,CD63
37.7,134.843,CD63
37.83,134,CD63
37.96,124.706,CD63
38.09,131.124,CD63
38.22,141.908,CD63
38.35,149,CD63
38.48,158.294,CD63
38.61,165.667,CD63
38.74,156.176,CD63
38.87,149.51,CD63
39,153.752,CD63
39.13,153.647,CD63
39.26,151.085,CD63
39.39,151.529,CD63
39.52,150.235,CD63
39.65,154.026,CD63
39.78,149.484,CD63
39.91,132.647,CD63
40.04,155.889,CD63
40.17,172.83,CD63
40.3,194.765,CD63
40.43,255.294,CD63
40.56,470.34,CD63
40.69,922.706,CD63
40.82,2179,CD63
40.95,4294.17,CD63
41.08,7064.941,CD63
41.21,6247.307,CD63
41.34,4483.046,CD63
41.47,2405.059,CD63
41.6,1164.928,CD63
41.73,743.654,CD63
41.86,612.529,CD63
41.99,451.379,CD63
42.12,279.046,CD63
42.25,209.706,CD63
42.38,170.294,CD63
42.51,158.562,CD63
42.64,162.824,CD63
42.77,167.686,CD63
42.9,151.869,CD63
43.03,162,CD63
43.16,136,CD63
43.29,154.43,CD63
43.42,138.482,CD63
43.55,121.155,CD63
43.68,137.224,CD63
43.81,137,CD63
43.94,143.079,CD63
44.07,145.219,CD63
44.2,143.224,CD63
44.33,145.635,CD63
44.46,151.816,CD63
44.59,137.683,CD63
44.72,139.378,CD63
44.85,140.548,CD63
44.98,134.875,CD63
45.11,136.304,CD63
45.24,132.388,CD63
45.37,135.857,CD63
45.5,129.306,CD63
45.63,121.235,CD63
45.76,139.01,CD63
45.89,138.531,CD63
46.02,144.36,CD63
46.15,144.187,CD63
46.28,151.776,CD63
46.41,152.058,CD63
46.54,152.505,CD63
46.67,151.913,CD63
46.8,150,CD63
46.93,141.5,CD63
47.06,139.477,CD63
47.19,148.443,CD63
47.32,149.102,CD63
